ElectionDate	OfficeCode(Text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyName	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nominated(N)/Elected(E)
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			1663			
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			177			
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		19			
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			67			
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		2			
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			0	W		
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		0	W		
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			5	W		
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		34183			E
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			18050			
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			2513			
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		289			
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			596			
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		27			
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			0	W		
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			2	W		
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		1	W		
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			125	W		
2016-11-08	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		9090			E
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			4877			
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			498			
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		53			
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			160			
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		10			
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			0	W		
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		5	W		
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			5	W		
2016-11-08	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		8469			E
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			4448			
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			459			
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		47			
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			146			
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		3			
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			0	W		
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		0	W		
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			10	W		
2016-11-08	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		4950			E
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			2384			
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			270			
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		26			
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			60			
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		3			
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			0	W		
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		0	W		
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			3	W		
2016-11-08	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		2158			E
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			1156			
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			106			
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		15			
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			49			
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		2			
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			1	W		
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		1	W		
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			2	W		
2016-11-08	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		19202			E
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			9114			
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			1424			
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		181			
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			346			
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		10			
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			2	W		
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		0	W		
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			50	W		
2016-11-08	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		28328			E
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			21642			
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			2189			
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		208			
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			544			
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		23			
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			1	W		
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		2	W		
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			40	W		
2016-11-08	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		5539			E
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			4108			
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			382			
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		36			
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			149			
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		7			
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			0	W		
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		0	W		
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			7	W		
2016-11-08	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		38647			E
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			29495			
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			2760			
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		290			
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			662			
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		28			
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			1	W		
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			2	W		
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		6	W		
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			138	W		
2016-11-08	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			2	W		
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		11786			E
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			5061			
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			582			
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		57			
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			151			
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		4			
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			7	W		
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		0	W		
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			15	W		
2016-11-08	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		31494			E
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			24157			
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			2284			
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		202			
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			635			
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		29			
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			2	W		
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		4	W		
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			95	W		
2016-11-08	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		14243			E
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			7270			
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			753			
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		100			
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			199			
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		9			
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			2	W		
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			0	W		
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		2	W		
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			17	W		
2016-11-08	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		8674			E
2016-11-08	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			5137			
2016-11-08	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			532			
2016-11-08	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		34			
2016-11-08	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			178			
2016-11-08	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		12			
2016-11-08	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
